epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2406,1.38106,2.67801,1.46857,0.65228,0.61491,0.64863,0.47567,1.09378,1.9276,1.29755,0.000413669,0.000413669,0.000413669
2,40.1671,1.39821,1.69935,1.47395,0.80265,0.70352,0.80505,0.60729,1.09737,1.46328,1.29399,0.000827596,0.000827596,0.000827596
3,57.734,1.39066,1.51444,1.45275,0.84653,0.76385,0.8328,0.62513,1.09943,1.48329,1.28494,0.00123877,0.00123877,0.00123877
4,74.8661,1.39136,1.40419,1.46598,0.85007,0.82159,0.89486,0.68693,1.01243,1.21598,1.20518,0.00123763,0.00123763,0.00123763
5,92.1676,1.34816,1.27285,1.43909,0.86722,0.85984,0.89852,0.70245,0.96393,1.06956,1.18739,0.0012335,0.0012335,0.0012335
6,109.41,1.34244,1.21065,1.43106,0.91175,0.87499,0.92362,0.72251,0.99966,0.92588,1.21395,0.00122937,0.00122937,0.00122937
7,126.967,1.31527,1.15624,1.41256,0.92209,0.88372,0.93034,0.74259,0.95281,0.91184,1.1758,0.00122525,0.00122525,0.00122525
8,144.085,1.32594,1.10025,1.40723,0.91876,0.84509,0.92631,0.75211,0.9314,0.92063,1.1621,0.00122112,0.00122112,0.00122112
9,161.497,1.3103,1.09136,1.41002,0.93016,0.89205,0.94359,0.72902,0.99063,0.90047,1.20547,0.001217,0.001217,0.001217
10,178.68,1.25541,0.99736,1.36901,0.91928,0.8905,0.93589,0.76442,0.9234,0.79734,1.15469,0.00121287,0.00121287,0.00121287
11,195.795,1.27774,0.98766,1.38911,0.92303,0.88834,0.93845,0.75428,0.92374,0.81316,1.16064,0.00120875,0.00120875,0.00120875
12,212.814,1.23884,0.96296,1.37111,0.91919,0.89169,0.9455,0.75811,0.92095,0.7921,1.17365,0.00120462,0.00120462,0.00120462
13,230.324,1.2394,0.93638,1.36469,0.9482,0.93232,0.9602,0.78034,0.87706,0.68024,1.12241,0.0012005,0.0012005,0.0012005
14,247.719,1.2261,0.90407,1.34299,0.93982,0.91387,0.95316,0.77575,0.87643,0.73054,1.12084,0.00119637,0.00119637,0.00119637
15,264.806,1.21778,0.88537,1.34122,0.93043,0.88859,0.93506,0.74044,0.95727,0.81036,1.20572,0.00119225,0.00119225,0.00119225
